Symbol,SMA,EMA,MACD,ADX,RSI,ROC,OBV,MFI
IFF,74.39168466567993,68.57739194811903,-1.2334371096139165,17.895402539664037,40.30972488758895,-19.595805795459352,-34507600.0,39.348459514187475
INCY,71.30009990692139,78.18126476631905,0.6877881331518694,29.721213712773306,56.3501591306869,29.765737510501957,65175500.0,55.40501726483965
INTC,22.739899950027464,25.83897568099555,3.3418854341095887,30.22297311891587,64.8611317250531,91.48936005747169,408183000.0,68.7695770485856
INTU,664.0831961059571,692.9430726751227,-7.375276903312852,20.682323730743885,45.18014943570462,-15.427269070921035,-10872700.0,54.54793505627414
INVH,31.510023994445802,30.572257270500486,-0.48851491768523303,18.244273185633244,41.49777281629334,-15.26043276331407,-73250800.0,29.825624831457176
IP,49.4774641418457,47.8699662170984,-0.3020437714513733,10.841947557493103,48.244943888904466,-0.6898089388217676,26427800.0,46.23361420245271
IPG,25.407890415191652,25.697442386544154,0.22162310950613673,17.399158313602292,51.95357881831866,17.53605893350214,87652000.0,52.340179922983395
IQV,177.12944999694824,181.70136549105698,4.6413819279555355,17.06435954495434,55.88142520150426,45.93816757199218,-2153800.0,50.881628230051504
IR,82.84837543487549,81.8607931478652,0.27862193430270565,8.957099027344608,47.258402116307636,-3.158839641821054,-24134400.0,51.85389656426923
IRM,94.91532039642334,97.330427523305,2.6733306307638856,14.593664046364777,55.15693410608017,7.201170827048564,27267100.0,64.28947985408351
ISRG,515.6917491149902,480.90842093957644,-4.428050544226323,33.059899663236145,44.3941179935574,-19.796123662356624,10848600.0,50.21216717266947
IT,396.7411501312256,312.26911496097017,-2.8631083186842545,40.11524208860469,36.33844793435239,-43.12101420651312,-5055600.0,61.83133097899371
ITW,250.3350336456299,255.5635582019812,-1.7878360611067592,12.725631677610481,47.59386873629459,3.5848910068821294,-20107900.0,31.107001499762436
IVZ,17.396090841293336,20.076834878175546,0.6300790783862524,33.27292751348753,64.76795392401387,67.8409117013356,180087700.0,63.74390593100608
J,132.4680015182495,141.74859199858136,2.6211678267309253,25.66161663266717,59.468127875254304,25.496150912490933,1021139.0,53.327062436587724
JBHT,148.47135852813722,142.67123815783714,0.3069820184753951,9.058110825914559,49.80658427628601,4.69709316750706,-13774800.0,51.338981875124986
JBL,178.3080902481079,202.49241735168638,-2.6309568297526766,12.152389807864994,51.681585854234655,21.881537418734666,49462500.0,56.08914601085965
JCI,93.69556064605713,103.36535629786786,0.4103706710178159,8.373637663559963,54.92772634593075,7.731210141820766,75472500.0,39.77508328664787
JKHY,170.8959703063965,163.98419287068,-3.320918756927284,25.82980048903651,41.5446463199735,-16.916912038700083,-4504200.0,38.70725470028151
JNJ,159.2140754699707,170.1202541333962,3.9323224337961165,26.234444030402567,64.52617149064388,23.862648039061995,290043500.0,67.97190459370233
JPM,267.28081436157225,288.884657845826,1.8417921576657932,15.043335024620028,57.30364082738092,16.562570838816583,331307500.0,63.76134785195935
K,80.19983028411865,79.87002479782647,1.0766060166483697,24.005473377368183,59.215914264462775,1.6302955362167637,32500200.0,56.698349493243875
KDP,31.781888599395753,30.13668787815514,-0.998596873398224,31.84552739314529,38.404238999220176,-21.005055897445402,-325949400.0,38.40843920944524
KEY,16.753718314170836,17.857280685517303,-0.09757491700378651,10.668121017996643,52.41489924898779,16.294713462380695,60394100.0,45.52444880912399
KEYS,161.84825004577635,166.05325342329112,0.8795305462894873,11.390154937032495,52.71338020983727,8.044964286474809,17896900.0,67.06492281411329
KHC,27.563628034591673,26.822237863066903,-0.3799738858000836,11.210029703522288,44.934517939212796,-4.5899496480201645,-71173900.0,47.48388751786511
KIM,21.08788812637329,21.454694855090132,-0.15002727424848317,8.836060858979812,49.46190070735668,2.6280315497296147,-65055700.0,37.68895152445619
